suburb,breed,type,colour,registered,age,animal_nam
 NEWTOWN ,Border Collie,Dog,Black/White,T,5,Bella
 NEWTOWN ,Domestic Short Haired,Cat,Black/White,T,5,Gus
 GEELONG WEST ,Hungarian Vizsla,Dog,Black,T,13,Little Princess
 GEELONG WEST ,Domestic Short Haired,Cat,Ginger,T,9,Monty
 HERNE HILL ,Bull Terrier,Dog,Tri Colour,T,4,Moose
 NEWTOWN ,Terrier/Cross,Dog,Pepper/Salt,F,10,Polly
 GEELONG WEST ,Cavoodle,Dog,Red,T,1,Frankie
 MANIFOLD HEIGHTS ,Jack Russell,Dog,Black/White,T,14,Rex
 NEWTOWN ,Domestic Short Haired,Cat,Tortishell/White,T,1,Alaska
 NEWTOWN ,Domestic,Cat,Grey/Brown,T,6,Vaughan
 NEWTOWN ,Domestic,Cat,Black,T,13,Benny
 NEWTOWN ,Jack Russell,Dog,Tri Colour,F,13,Tiny
 NEWTOWN ,Domestic,Cat,Ginger/White,T,16,Mog
 NEWTOWN ,Domestic,Cat,Grey,T,11,Poppy
 NEWTOWN ,Domestic,Cat,Black/White,T,14,Lucky
 NEWTOWN ,Domestic,Cat,Tabby,T,18,Tabby
 NEWTOWN ,Pug/Cross,Dog,Fawn,T,7,Pugsley
 NEWTOWN ,Boxer,Dog,Brown/White,T,9,Poppy
 NEWTOWN ,Domestic Short Haired,Cat,Grey/ White,F,15,Misty
 NEWTOWN ,Boxer,Dog,Red/White,T,4,Alfie
 NEWTOWN ,Domestic,Cat,Silver,T,13,Cuddles
 NEWTOWN ,Mixed Breed Cat,Cat,Tabby,T,8,Kittens Magee
 NEWTOWN ,Burmese,Cat,Lilac,T,8,Ed
 NEWTOWN ,Burmese,Cat,Brown,T,7,Mannee
 NEWTOWN ,Domestic Short Haired,Cat,Ginger/White,F,16,Spencer
 NEWTOWN ,Blue Heeler/Labrador,Dog,Blue/Black,T,10,Roxy
 NEWTOWN ,Domestic,Cat,Black,T,,Mitzy
 GEELONG WEST ,Jack Russell,Dog,White/Tan,T,3,Seeker
 NEWTOWN ,Maltese/Shih Tzu,Dog,Black/White,F,9,Murphy
 NEWTOWN ,Domestic Short Haired,Cat,White/Ginger,T,3,Mitzo
 NEWTOWN ,Tonkinese,Cat,Chocolate,F,7,Obe
 NEWTOWN ,Golden Retriever/Cross,Dog,Black,T,13,Ernie
 NEWTOWN ,West Highland Terrier,Dog,White,T,9,Darcy
 GEELONG WEST ,Domestic Short Haired,Cat,Tabby/White,T,2,Pericles (Perri)
 MANIFOLD HEIGHTS ,Domestic,Cat,Tortishell/Tri Colour,T,16,Whiskey
 GEELONG WEST ,Labrador,Dog,Black,T,7,Lizzie
 NEWTOWN ,Domestic Long Haired,Cat,White/Black,F,11,Plaido
 NEWTOWN ,Scottish Terrier,Dog,Black,T,10,Lexie
 NEWTOWN ,Scottish Terrier,Dog,Black,T,11,Bonnie
 NEWTOWN ,Golden Retriever,Dog,Golden,F,8,Anna
 NEWTOWN ,Groodle,Dog,Chocolate,T,3,Benson
 NEWTOWN ,Fox Terrier/Cross,Dog,Tan/White,T,7,Ellie
 NEWTOWN ,Staffordshire,Dog,Black/White,F,2,Lilly
 NEWTOWN ,Corgi/Jack Russell,Dog,Tri Colour,T,5,Roy
 NEWTOWN ,Cavalier KC Spaniel,Dog,Ruby,T,12,Millie
 NEWTOWN ,Poodle/Bichon Frise,Dog,Cream/Apricot,T,5,Maisy
 NEWTOWN ,Boxer/Cross,Dog,White/Black,T,1,Misty
 HERNE HILL ,Fox Terrier/Cross,Dog,Tri Colour,T,11,Noodles
 NEWTOWN ,Labrador,Dog,Chocolate,F,5,Griffin
 NEWTOWN ,Retriever,Dog,Blonde,F,4,Daisy
 NEWTOWN ,Jack Russell/Shih Tzu,Dog,Tri Colour,T,15,Sammy
 NEWTOWN ,Schnoodle,Dog,Cream/Apricot,T,4,Ronnie
 NEWTOWN ,Burmese/Persian,Cat,Blue,F,14,Roxy
 NEWTOWN ,Border Collie/Cross,Dog,Tri Colour,T,4,Max
 NEWTOWN ,Pomeranian,Dog,Brown,T,11,Tiger
 NEWTOWN ,Domestic,Cat,Ginger,T,1,Rosie
 NEWTOWN ,Domestic Short Haired,Cat,Black,F,14,Sox
 NEWTOWN ,Jack Russell,Dog,White/Tan,T,13,Spike
 NEWTOWN ,Maltese/Cavalier KC Spaniel,Dog,Black/White,T,12,Checkers
 NEWTOWN ,Labrador/Retriever,Dog,Brown/White,T,6,REMMY
 NEWTOWN ,West Highland Terrier,Dog,White,T,8,Dougal
 NEWTOWN ,Domestic,Cat,Figjam,T,11,Gypsy
 NEWTOWN ,Staffordshire/Cross,Dog,White/Brown,T,4,Jasper
 NEWTOWN ,Tonkinese,Cat,Lilac,T,7,Zoe
 MANIFOLD HEIGHTS ,Boxer,Dog,Tri Colour,T,5,Gilbert
 NEWTOWN ,Maltese/Shih Tzu,Dog,White,T,11,Gemma
 NEWTOWN ,Domestic Short Haired,Cat,White/Tabby,T,10,Trixie
 NEWTOWN ,Pomeranian Cross,Dog,Black/White,T,9,Suzy
 NEWTOWN ,Jack Russell,Dog,Tan/White,T,11,Jessie
 NEWTOWN ,Domestic,Cat,Tabby/White,T,6,Max
 HERNE HILL ,Domestic,Cat,Ginger,T,13,Ginger
 NEWTOWN ,Pomeranian,Dog,Brown,F,25,Snooky
 NEWTOWN ,Labrador/Border Collie,Dog,Black,T,4,Rico
 NEWTOWN ,Domestic,Cat,Brown/Black,F,18,Molly
 NEWTOWN ,Domestic,Cat,Grey/Black,F,8,Mozzie
 NEWTOWN ,Maltese/Shih Tzu,Dog,White,T,10,Chesta
 NEWTOWN ,Cavoodle,Dog,Apricot,T,4,Rufus
 NEWTOWN ,Keeshond,Dog,Silver/Grey,T,13,Meeka
 NEWTOWN ,Domestic,Cat,Tortishell,T,10,kate
 NEWTOWN ,Maltese/Pomeranian,Dog,Beige,F,11,Ollie
 NEWTOWN ,Domestic,Cat,Black/White,T,4,Ku
 NEWTOWN ,Domestic,Cat,Black/White,T,4,Ching
 NEWTOWN ,Maltese,Dog,White,F,13,Daisy
 NEWTOWN ,Cavalier KC Spaniel/Poodle,Dog,Black/White,T,0,Daisy
 NEWTOWN ,Shetland Sheepdog,Dog,Tri Colour,T,12,Timmy
 NEWTOWN ,Miniature/Schnauzer,Dog,Pepper/Salt,T,6,Bella
 NEWTOWN ,Australian Cattle Dog,Dog,Red,T,14,Chardy
 NEWTOWN ,Pomeranian Cross,Dog,Multi Coloured,T,8,Teddy
 NEWTOWN ,Burmese,Cat,Blue,T,9,Raffles
 NEWTOWN ,Golden Retriever,Dog,Golden,T,7,Lulu
 NEWTOWN ,Maltese Cross,Dog,White,T,12,Sophie
 NEWTOWN ,Spoodle,Dog,Tan/White,T,3,Tess
 NEWTOWN ,Domestic Long Haired,Cat,Grey/ White,T,7,Hugo
 NEWTOWN ,Spoodle,Dog,White/Apricot,F,9,Charlie
 NEWTOWN ,Whippet,Dog,Blue,T,9,Storm
 NEWTOWN ,Terrier,Dog,Black/Tan,T,11,ARCHIE
 NEWTOWN ,Jack Russell/Cross,Dog,Tan/White,T,3,Timmy
 GEELONG WEST ,Jack Russell/Cross,Dog,Tan/White,T,10,Tilley
 NEWTOWN ,Labrador,Dog,Golden,T,1,Penny
 NEWTOWN ,Kelpie,Dog,Tan,T,7,Rusty
 NEWTOWN ,Miniature/Fox Terrier,Dog,Black/White,F,15,Jake
 NEWTOWN ,Domestic Long Haired,Cat,Grey/Tabby,T,14,Pugsy
 NEWTOWN ,Maltese/Jack Russell,Dog,White/Brown,T,9,Lilly
 NEWTOWN ,Schnoodle,Dog,Charcoal,T,5,Lizzie
 NEWTOWN ,Labrador,Dog,Chocolate,T,5,Troy
 NEWTOWN ,Labrador/Golden Retriever,Dog,Golden,F,10,Jasmin
 NEWTOWN ,Maltese Cross,Dog,Black/White,T,11,Oscar
 NEWTOWN ,Welsh Terrier,Dog,Black/Tan,T,5,Biggles
 MANIFOLD HEIGHTS ,Domestic,Cat,Tabby,T,9,Poosey
 NEWTOWN ,Domestic Short Haired,Cat,Black/White,T,11,Alexander Lloyd
 NEWTOWN ,Tonkinese,Cat,Grey,T,11,Millie
 NEWTOWN ,Jack Russell/Terrier,Dog,White/Tan,T,4,Keats
 NEWTOWN ,Domestic Short Haired,Cat,Black/White,T,14,Max
 NEWTOWN ,Italian Greyhound,Dog,Black,T,7,Shadow
 NEWTOWN ,Jack Russell,Dog,Tri Colour,T,16,Jemma
 NEWTOWN ,Cavoodle,Dog,Apricot,T,3,Buddy
 NEWTOWN ,Terrier/Cross,Dog,Tri Colour,T,3,Baxter
 NEWTOWN ,English Springer,Dog,Liver/White,F,11,Harry
 NEWTOWN ,Puglier,Dog,Golden,F,7,Daisy
 NEWTOWN ,Domestic,Cat,Tabby,T,6,Tabitha
 NEWTOWN ,Domestic,Cat,Tabby,T,5,Tabitha
 NEWTOWN ,Domestic,Cat,Tabby,T,5,Turbo
 NEWTOWN ,Maltese/Shih Tzu,Dog,Black/Grey,F,15,Zac
 NEWTOWN ,Maltese/Shih Tzu,Dog,White/Black,T,10,Scooter
 NEWTOWN ,Springer Spaniel,Dog,Liver/White,T,15,Molly
 NEWTOWN ,Domestic Short Haired,Cat,Black/White,T,9,Mona
 NEWTOWN ,Domestic Short Haired,Cat,Black/White,T,13,Bella
 NEWTOWN ,Border Collie,Dog,Caramel/White,T,5,Charlie
 NEWTOWN ,Domestic,Cat,Tri Colour,T,3,Lucy
 NEWTOWN ,Domestic,Cat,Black/White,T,10,Chester
 NEWTOWN ,Finnish Lapphund,Dog,Black/Tan,T,3,Heidi
 NEWTOWN ,Bull Terrier,Dog,White/Black,T,2,Sonny
 NEWTOWN ,Border Collie,Dog,Black/White,T,10,Jessie
 NEWTOWN ,Domestic Short Haired,Cat,Black/White,F,17,Mipsy
 NEWTOWN ,Maltese/ Terrier,Dog,White,F,12,Heidi
 NEWTOWN ,Red Heeler,Dog,Red,T,9,Robin
 NEWTOWN ,Domestic Short Haired,Cat,Tabby,T,5,Teddy
 NEWTOWN ,Maltese/Shih Tzu,Dog,White,T,13,Jake
 NEWTOWN ,Kelpie/Cross,Dog,Tan,T,15,Astro
 NEWTOWN ,Labradoodle,Dog,Golden,T,12,Moby
 NEWTOWN ,Domestic Short Haired,Cat,Red/Tabby,T,2,Rango
 NEWTOWN ,Domestic,Cat,Ginger/White,T,7,Benji
 HERNE HILL ,Domestic Short Haired,Cat,Grey/Tabby,T,9,Muffins
 NEWTOWN ,Maltese/Poodle,Dog,Black/Grey,F,5,Mabel
 NEWTOWN ,Cavalier KC Spaniel,Dog,Ruby,T,12,Cleo
 NEWTOWN ,Labrador,Dog,Yellow,T,0,Murray
 NEWTOWN ,Golden Retriever/Retriever,Dog,Golden,T,2,Teddy
 NEWTOWN ,Toy/Poodle,Dog,Apricot,T,0,Luci
 NEWTOWN ,Pug/Cavalier KC Spaniel,Dog,Brown,T,3,loui
 NEWTOWN ,Labrador,Dog,Golden,T,8,Digger
 NEWTOWN ,Labrador,Dog,Black,T,8,Flyn
 NEWTOWN ,Jack Russell/Cross,Dog,White/Tan,T,8,Tashi
 NEWTOWN ,Staffordshire,Dog,Blue,T,2,Darcey
 NEWTOWN ,Staffordshire/Bull Terrier,Dog,Blue,T,1,Max
 NEWTOWN ,Whippet,Dog,White/Blue,T,6,Elly
 NEWTOWN ,Labrador/Golden Retriever,Dog,Cream,T,4,Jimmy
 NEWTOWN ,Sheltie,Dog,Sable/White,F,2,Jaffa
 NEWTOWN ,Kelpie,Dog,Black/Tan,T,12,Molly
 NEWTOWN ,Jack Russell/Cross,Dog,White/Tan,T,10,Minnie
 NEWTOWN ,Schnauzer/Poodle,Dog,Cream,T,5,Mimi
 HERNE HILL ,Domestic,Cat,Ginger/White,T,6,Sunny
 NEWTOWN ,Short Haired,Cat,White/Grey,T,13,Jerry
 MANIFOLD HEIGHTS ,Maltese/Shih Tzu,Dog,White/Fawn,T,8,Sparkles
 NEWTOWN ,Maltese/Shih Tzu,Dog,Black/White,F,15,Pamby
 NEWTOWN ,Domestic,Cat,Tabby,T,8,Harley
 NEWTOWN ,Border Collie/Labrador,Dog,Black,F,4,Hugo
 NEWTOWN ,Domestic,Cat,Tabby,T,9,Sally
 NEWTOWN ,Domestic,Cat,Black/White,T,1,Joe
 NEWTOWN ,Domestic,Cat,Grey/ White,T,8,Oscar
 NEWTOWN ,Border Collie,Dog,Black/White,T,5,Billy
 NEWTOWN ,Domestic Short Haired,Cat,White,T,10,Lilly
 NEWTOWN ,Domestic,Cat,White/Tabby,T,4,Toby
 NEWTOWN ,Greyhound,Dog,Brindle,T,5,Cassy
 NEWTOWN ,Domestic Short Haired,Cat,Cream/Ginger,T,3,Minnie
 NEWTOWN ,Silky Terrier,Dog,Black/Tan,T,9,Jak
